BACKUP ALARM	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	Boolean	SaveRequired	False
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	Int32	Channel	0
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	Int32	Invert	0
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	Int32	CalType	0
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	Int32	Direction	0
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	String	Description	BLK(A-1) IO(100)
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	Int32	ChassisID	1
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	String	ClassType	IO_NIDAQSCXIDigitalInput
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	String	Tag	BACKUP ALARM
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	String	Help	"6, 12"
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	Int32	ModuleNmb	1
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	String	RawValue	
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	String	Device	1
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	Int32	Port	0
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	Int32	ProgID	0
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	String	Type	
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	String	Mapping	
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	Int32	Value	0
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	Boolean	RaisesEvent	False
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	String	Enabled	0
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	String	Format	
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	String	Detail	CAB(C5-1)  WIRE(205)
BACKUP ALARM	IO_NIDAQSCXIDigitalInput	String	Units	
DISPLAYDigital Inputs	IOdisplay	String	Group	IOdisplay
DISPLAYDigital Inputs	IOdisplay	Boolean	Minimized	False
DISPLAYDigital Inputs	IOdisplay	Int32	Top	2
DISPLAYDigital Inputs	IOdisplay	Boolean	SaveRequired	False
DISPLAYDigital Inputs	IOdisplay	Int32	Invert	0
DISPLAYDigital Inputs	IOdisplay	String	ClassType	IOdisplay
DISPLAYDigital Inputs	IOdisplay	String	Tag	DISPLAYDigital Inputs
DISPLAYDigital Inputs	IOdisplay	Int32	Width	700
DISPLAYDigital Inputs	IOdisplay	Int32	ProgID	0
DISPLAYDigital Inputs	IOdisplay	Boolean	RaisesEvent	False
DISPLAYDigital Inputs	IOdisplay	String	Enabled	
DISPLAYDigital Inputs	IOdisplay	String	Format	
DISPLAYDigital Inputs	IOdisplay	String	Group	IOdisplay
DISPLAYDigital Inputs	IOdisplay	Int32	Height	260
DISPLAYDigital Inputs	IOdisplay	Int32	Left	4
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	String	Group	Digital Outputs
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	Boolean	SaveRequired	False
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	Int32	Channel	16
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	Int32	Invert	1
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	Int32	CalType	0
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	Int32	Direction	1
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	String	Description	BLK(B-19) IO(416)
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	Int32	ChassisID	1
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	String	ClassType	IO_NIDAQSCXIDigitalOutput
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	String	Tag	EQUIP FILTER RESTRICT SWITCH
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	String	Help	11
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	Int32	ModuleNmb	4
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	String	RawValue	
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	String	Device	1
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	Int32	Port	0
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	Int32	ProgID	0
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	String	Type	
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	String	Mapping	
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	Int32	Value	0
EQUIP FILTER RESTRICT SWITCH	IO_NIDAQSCXIDigitalOutput	Boolean	RaisesEvent	False
